time,o_id,d_id,count
20160817,0,1,50
20160817,0,2,55
20160817,0,3,90
20160817,1,0,100
20160817,1,2,80
20160817,1,3,60
20160817,2,0,40
20160817,2,1,10
20160817,2,3,10
20160817,3,0,10
20160817,3,1,100
20160817,3,2,95
20160817,4,0,15
20160817,4,1,80
20160817,4,2,50
20160817,4,3,30
20160817,4,5,55
20160817,4,6,55
20160817,5,0,80
20160817,5,1,90
20160817,5,2,45
20160817,5,3,56
20160817,5,4,30
20160817,5,6,20
20160817,6,0,74
20160817,6,1,20
20160817,6,2,80
20160817,6,3,23
20160817,6,4,22
20160817,6,5,15
