longitude,latitude,homecount,workcount,rate
118.797717,32.068897,432,99,0.229166667
118.797727,32.068977,105,281,2.676190476
118.797737,32.068922,439,493,1.123006834
118.867058,32.066981,252,415,1.646825397
118.867068,32.066982,161,202,1.254658385
118.867078,32.066983,374,90,0.240641711
118.867088,32.066975,148,240,1.621621622
118.797797,32.06894,341,297,0.870967742
118.797799,32.06894,229,282,1.231441048
119.057401,32.03905,444,110,0.247747748
119.330589,31.973502,116,465,4.00862069
119.273867,31.987884,180,422,2.344444444
118.957311,32.012383,245,480,1.959183673
119.298727,31.98759,299,93,0.311036789
118.826716,32.065864,496,452,0.911290323
118.818864,32.108995,342,218,0.637426901
118.847705,32.070214,176,459,2.607954545
118.837684,32.12074,103,180,1.747572816
118.779656,32.106695,401,266,0.663341646
118.832481,32.076224,209,159,0.76076555
118.736233,32.010396,60,231,3.85
118.782468,32.058823,273,451,1.652014652
118.855069,32.039559,331,377,1.13897281
118.884376,32.086402,87,129,1.482758621
118.776946,32.019395,91,220,2.417582418
118.888827,32.131471,234,315,1.346153846
118.842768,32.059979,109,173,1.587155963
118.812032,32.055539,190,153,0.805263158
118.796839,32.08468,281,376,1.338078292
118.780229,32.060904,255,135,0.529411765
118.783059,32.013426,185,267,1.443243243
118.772699,32.063196,440,327,0.743181818
118.837662,32.050926,269,177,0.657992565
118.808005,32.032477,317,56,0.176656151
118.791604,32.041294,415,289,0.696385542
118.763224,32.088576,306,374,1.222222222
118.806154,32.042561,77,185,2.402597403
118.767516,32.114225,81,132,1.62962963
118.822428,32.081008,73,153,2.095890411
118.835454,32.083341,324,359,1.108024691
118.819085,32.102895,469,94,0.200426439
118.875594,32.088889,173,147,0.849710983
118.73728,32.090918,252,300,1.19047619
118.760856,32.106944,390,371,0.951282051
118.884144,32.010366,344,265,0.770348837
118.778224,32.093723,226,242,1.07079646
118.751893,32.085148,128,323,2.5234375
118.811725,32.12327,435,239,0.549425287
118.866123,32.009038,493,89,0.180527383
118.774006,32.020115,181,398,2.198895028
118.787393,32.103307,198,287,1.449494949
118.815785,32.123822,82,474,5.780487805
118.773122,32.040731,220,306,1.390909091
118.798983,32.018569,78,254,3.256410256
118.867108,32.089235,454,279,0.614537445
118.782387,32.118728,304,459,1.509868421
118.786024,32.088073,322,328,1.01863354
118.738571,32.124502,113,178,1.575221239
118.790614,32.121901,329,164,0.498480243
118.823571,32.030421,198,339,1.712121212
118.799242,32.074598,455,314,0.69010989
118.86266,32.108128,160,298,1.8625
